,Type,ASM,constrast,correl,variance,inv diff mom,sum aveg,sum var,sum entropy,entropy,dif var,dif entropy,IMC1,IMC2,colors
0,1,0.06250,220.45629,0.33330,176.96966,0.23476,140.87132,487.42235,3.05917,4.11977,0.00200,2.70205,-0.66373,0.98529,0.57000
1,1,0.06265,35.93913,0.15288,24.35091,0.25649,115.26266,61.46449,2.87654,4.08760,0.00315,2.38193,-0.63710,0.98340,0.42500
2,1,0.05668,94.66258,0.35417,88.29147,0.22248,164.13399,258.50331,3.03165,4.20547,0.00235,2.40839,-0.67320,0.98987,0.44750
3,1,0.05367,364.05229,0.24475,267.42215,0.15912,157.20098,705.63630,3.20706,4.27369,0.00121,2.94304,-0.73084,0.99238,0.48750
4,1,0.05144,196.93954,0.39782,174.77884,0.14169,174.38072,502.17584,3.21862,4.31617,0.00137,2.84978,-0.77013,0.99737,0.53500
5,1,0.05468,194.23897,0.38457,187.01390,0.15319,251.54371,553.81664,3.23362,4.24918,0.00104,2.83426,-0.74922,0.99615,0.52250
6,1,0.07726,341.95057,0.35280,305.74009,0.26632,144.99060,881.00977,2.92803,3.91118,0.00255,2.52673,-0.59639,0.95030,0.38500
7,1,0.06439,303.88031,0.18788,260.24974,0.23983,141.84926,737.11866,2.97577,4.09188,0.00219,2.62144,-0.62422,0.97296,0.45750
8,1,0.05890,1083.40972,0.30408,736.22272,0.19005,147.88603,1861.48118,3.12046,4.18195,0.00228,2.68092,-0.68074,0.98708,0.39750
9,1,0.06033,73.75082,0.26258,59.33414,0.22709,120.11601,163.58574,3.06816,4.13999,0.00256,2.56879,-0.62853,0.98365,0.45000
10,1,0.06318,154.31822,0.23026,127.12692,0.21403,169.24387,354.18946,3.02539,4.09597,0.00183,2.61974,-0.64582,0.98600,0.34750
11,1,0.06519,70.89624,0.44381,74.10546,0.23556,124.74918,225.52560,3.09416,4.11637,0.00296,2.45646,-0.67367,0.97608,0.40000
12,1,0.05455,576.59273,0.21912,453.89351,0.11851,118.52900,1238.98131,3.20164,4.27633,0.00138,3.00651,-0.75946,0.99592,0.56500
13,1,0.05600,151.95711,0.37990,126.36408,0.17502,161.08864,353.49919,3.21159,4.23488,0.00183,2.66539,-0.71649,0.99300,0.50000
14,1,0.07262,789.42279,0.18761,568.84272,0.25733,134.85743,1485.94809,2.90067,3.98264,0.00326,2.48198,-0.60625,0.95183,0.42500
15,1,0.05661,264.52492,0.33510,190.68114,0.15919,132.95221,498.19965,3.21056,4.22363,0.00185,2.76207,-0.72611,0.99516,0.51250
16,1,0.05902,70.85498,0.29748,66.49477,0.18706,309.36234,195.12408,3.01866,4.17755,0.00111,2.60437,-0.66737,0.98650,0.46000
