,Type,N_peaks,Media_proem,Area,Width_peaks,Width_peaks_max,Width_peaks_min,Median,Mode,Mean,Sd
0,1,2,21.73958,1024.86111,14.81369,54.42361,0.87671,41.70833,15.80556,66.99632,68.46875
1,1,1,13.34722,1140.79398,10.22390,25.70139,3.26313,34.56250,10.85417,86.34600,95.53923
2,1,2,50.77083,2055.15972,33.05020,141.50694,2.18092,116.78472,30.75000,130.03922,85.50475
3,1,2,196.14815,4612.20139,88.72145,642.30903,1.51358,70.88889,13.15278,285.03799,368.87534
4,1,2,248.66551,5680.38889,121.46336,520.03125,2.92540,341.29167,13.53472,347.03758,297.34679
5,1,0,0.00000,1047.02546,0.00000,0.00000,0.00000,24.86806,9.49306,81.60090,108.24145
6,1,3,52.06019,3044.81481,30.38445,238.74653,0.51040,73.54861,9.83333,195.02574,246.99837
7,1,2,21.14583,3058.18056,27.69233,121.84375,1.48304,131.79861,45.95139,220.03636,207.94621
8,1,2,126.01273,3792.91435,84.57986,597.11806,2.73008,73.34722,7.14583,239.35498,305.05452
9,1,2,46.27199,1321.23611,28.68911,132.43403,1.40300,58.26389,6.45139,87.84722,77.06722
30,1,2,155.61227,4764.63889,70.85815,486.24653,0.61222,88.93056,29.16667,310.12296,332.48663
31,1,1,5.43056,1522.17361,24.07983,86.08333,2.32742,86.97222,30.60417,100.53350,60.82175
32,1,2,17.79977,1130.51157,29.92049,162.62500,0.86536,40.30556,8.25694,70.85498,63.66803
33,1,2,81.50463,3250.10417,46.72491,315.49306,0.77215,130.77778,30.41667,199.92198,164.24389
34,1,1,103.23148,6046.68287,224.03145,891.70833,0.50000,233.63889,14.34028,404.71977,370.41508
35,1,1,55.59491,2328.39815,128.62159,510.44097,0.50000,59.71528,6.00000,157.10989,186.90369
36,1,3,14.71991,1689.60880,47.48793,362.24306,0.50000,81.76389,5.90278,111.53391,111.91035
37,1,1,17.28009,3104.65046,24.94358,78.77431,2.27239,93.44444,8.48611,314.07721,696.63472
38,1,2,22.46412,892.84491,18.96500,81.10764,2.37440,33.44444,9.52778,70.59886,104.72633
39,1,2,56.46065,3401.10880,60.59362,424.61806,1.21018,118.56250,15.42361,228.94322,219.63223
60,1,2,13.64931,1407.70370,46.77335,268.34375,0.90351,53.48611,7.52778,93.16340,101.41799
61,1,2,268.50231,6954.06944,141.34176,555.23611,2.82033,256.77083,36.37500,402.45588,374.61667
62,1,2,16.58218,2372.18981,44.74089,239.45139,0.66683,120.70833,46.93750,154.89461,109.03101
63,1,1,139.40509,5049.84491,104.50352,393.53819,2.56204,290.22222,12.34028,360.18423,317.15198
64,1,2,6.75694,5663.77546,37.42027,145.72569,0.52829,149.81944,77.49306,397.55801,451.88121
65,1,3,25.91667,1681.69907,41.80050,273.59028,0.67024,66.18750,10.22917,108.01144,94.42290
66,1,1,77.79398,2980.01852,47.62809,168.25347,5.18847,153.75694,16.64583,235.85212,366.52979
67,1,2,231.88542,10802.11111,289.79355,2054.91319,2.44598,224.78472,54.38194,653.48529,877.75838
68,1,1,45.34028,2042.31944,41.20257,141.44792,3.15803,101.09028,11.87500,137.20547,130.07755
69,1,1,7.56250,4271.24537,16.87413,46.49653,0.82017,55.50694,18.59028,339.37704,464.51353
90,1,2,6.97685,1960.00463,81.42920,597.23611,0.50000,38.24306,11.91667,139.76389,189.57073
91,1,2,38.92477,4247.41667,88.70425,512.84375,1.80629,164.40972,91.87500,273.02778,168.17979
92,1,3,18.10648,1183.58102,23.14690,109.06944,0.65464,66.78472,29.25000,73.07435,35.95235
93,1,2,72.32060,2488.69213,61.44337,262.47917,2.10441,148.49306,14.72222,156.13889,115.87594
94,1,1,181.16898,14049.06481,216.87374,836.92014,2.54197,576.16667,61.86111,933.57802,1260.48904
95,1,2,191.42130,4659.72917,87.63653,641.77083,0.52604,61.06250,17.25000,283.77165,401.05936
96,1,2,350.98958,8890.51620,173.00888,712.00347,3.09480,301.66667,20.80556,510.90727,474.79117
97,1,2,553.11458,21556.27315,445.08761,2688.08681,0.86402,1085.38194,25.79861,1312.91258,1181.15026
98,1,1,10.46528,989.86806,14.30009,35.67014,2.43685,39.18750,11.65278,71.32761,96.30419
99,1,2,408.11111,10373.20833,257.15724,1218.06944,0.50000,283.60417,32.47222,656.44812,789.21849
